step,lr,train_loss
0,1.500000e-07,8.436763
50,7.650000e-06,8.030970
100,1.515000e-05,7.157005
150,2.265000e-05,6.497389
200,3.015000e-05,5.887230
250,3.765000e-05,5.356420
300,4.515000e-05,4.982820
350,5.265000e-05,4.664735
400,6.015000e-05,4.410755
450,6.765000e-05,4.237173
500,7.515000e-05,4.032036
550,8.265000e-05,4.017268
600,9.015000e-05,3.905541
650,9.765000e-05,3.728806
700,1.051500e-04,3.689586
750,1.126500e-04,3.524952
800,1.201500e-04,3.461893
850,1.276500e-04,3.345070
900,1.351500e-04,3.369340
950,1.426500e-04,3.255681
1000,1.501500e-04,3.187805
1050,1.576500e-04,3.138101
1100,1.651500e-04,3.131967
1150,1.726500e-04,3.058712
1200,1.801500e-04,3.020012
1250,1.876500e-04,3.017399
1300,1.951500e-04,2.848387
1350,2.026500e-04,2.907915
1400,2.101500e-04,2.823384
1450,2.176500e-04,2.817654
1500,2.251500e-04,2.842523
1550,2.326500e-04,2.711489
1600,2.401500e-04,2.744394
1650,2.476500e-04,2.737806
1700,2.551500e-04,2.602522
1750,2.626500e-04,2.777913
1800,2.701500e-04,2.579914
1850,2.776500e-04,2.580237
1900,2.851500e-04,2.620193
1950,2.926500e-04,2.577256
2000,3.000000e-04,2.534507
2050,2.999937e-04,2.525141
2100,2.999750e-04,2.525007
2150,2.999437e-04,2.398920
2200,2.998999e-04,2.397229
2250,2.998435e-04,2.395653
2300,2.997747e-04,2.448020
2350,2.996934e-04,2.419446
2400,2.995996e-04,2.376795
2450,2.994932e-04,2.383167
2500,2.993745e-04,2.333465
2550,2.992432e-04,2.257833
2600,2.990995e-04,2.319208
2650,2.989434e-04,2.258313
2700,2.987749e-04,2.272659
2750,2.985939e-04,2.281363
2800,2.984006e-04,2.352648
2850,2.981949e-04,2.151416
2900,2.979768e-04,2.243941
2950,2.977464e-04,2.234330
3000,2.975037e-04,2.169754
3050,2.972487e-04,2.170856
3100,2.969814e-04,2.200471
3150,2.967019e-04,2.180181
3200,2.964102e-04,2.195249
3250,2.961063e-04,2.142810
3300,2.957902e-04,2.194423
3350,2.954620e-04,2.149105
3400,2.951217e-04,2.117009
3450,2.947694e-04,2.106794
3500,2.944050e-04,2.068814
3550,2.940286e-04,2.072501
3600,2.936402e-04,2.124895
3650,2.932399e-04,2.085071
3700,2.928277e-04,2.144897
3750,2.924037e-04,2.068660
3800,2.919678e-04,1.974387
3850,2.915202e-04,2.130267
3900,2.910608e-04,2.086876
3950,2.905898e-04,2.068393
4000,2.901071e-04,1.967538
4050,2.896128e-04,1.976719
4100,2.891069e-04,2.028019
4150,2.885895e-04,2.007475
4200,2.880607e-04,2.079790
4250,2.875204e-04,2.005112
4300,2.869688e-04,1.986509
4350,2.864059e-04,1.950788
4400,2.858317e-04,2.004869
4450,2.852463e-04,2.012203
4500,2.846498e-04,2.028008
4550,2.840421e-04,2.064248
4600,2.834235e-04,1.978225
4650,2.827938e-04,1.987993
4700,2.821532e-04,1.918859
4750,2.815018e-04,1.863411
4800,2.808395e-04,1.916799
4850,2.801665e-04,1.855166
4900,2.794828e-04,2.017082
4950,2.787885e-04,1.953957
5000,2.780837e-04,1.895730
5050,2.773683e-04,1.971555
5100,2.766426e-04,1.903609
5150,2.759065e-04,1.933330
5200,2.751601e-04,1.847026
5250,2.744035e-04,1.883485
5300,2.736367e-04,1.904289
5350,2.728599e-04,1.943569
5400,2.720730e-04,1.986120
5450,2.712762e-04,1.812594
5500,2.704696e-04,1.806584
5550,2.696532e-04,1.941089
5600,2.688271e-04,1.895236
5650,2.679914e-04,1.848486
5700,2.671461e-04,1.927547
5750,2.662913e-04,1.889723
5800,2.654271e-04,1.846830
5850,2.645537e-04,1.912446
5900,2.636710e-04,1.902971
5950,2.627791e-04,1.962608
6000,2.618782e-04,1.806759
6050,2.609683e-04,1.914983
6100,2.600495e-04,1.851136
6150,2.591218e-04,1.861984
6200,2.581855e-04,1.857889
6250,2.572405e-04,1.868561
6300,2.562869e-04,1.788541
6350,2.553249e-04,1.831678
6400,2.543545e-04,1.806472
6450,2.533758e-04,1.849545
6500,2.523889e-04,1.853363
6550,2.513940e-04,1.921514
6600,2.503910e-04,1.836658
6650,2.493801e-04,1.893694
6700,2.483613e-04,1.881967
6750,2.473348e-04,1.828373
6800,2.463007e-04,1.832694
6850,2.452591e-04,1.819169
6900,2.442100e-04,1.897837
6950,2.431536e-04,1.877103
7000,2.420899e-04,1.782691
7050,2.410190e-04,1.771726
7100,2.399412e-04,1.839220
7150,2.388563e-04,1.803206
7200,2.377646e-04,1.761023
7250,2.366662e-04,1.860923
7300,2.355611e-04,1.745596
7350,2.344495e-04,1.819066
7400,2.333315e-04,1.820116
7450,2.322071e-04,1.800111
7500,2.310764e-04,1.794901
7550,2.299397e-04,1.794900
7600,2.287969e-04,1.817601
7650,2.276482e-04,1.845021
7700,2.264937e-04,1.806800
7750,2.253334e-04,1.801466
7800,2.241676e-04,1.783560
7850,2.229963e-04,1.786986
7900,2.218197e-04,1.683476
7950,2.206377e-04,1.767631
8000,2.194506e-04,1.836011
8050,2.182585e-04,1.778273
8100,2.170614e-04,1.834755
8150,2.158595e-04,1.833699
8200,2.146528e-04,1.825792
8250,2.134416e-04,1.829574
8300,2.122258e-04,1.739745
8350,2.110057e-04,1.808273
8400,2.097813e-04,1.766697
8450,2.085528e-04,1.840858
8500,2.073202e-04,1.888377
8550,2.060837e-04,1.815283
8600,2.048434e-04,1.741896
8650,2.035994e-04,1.721116
8700,2.023518e-04,1.831795
8750,2.011008e-04,1.746791
8800,1.998464e-04,1.780426
8850,1.985887e-04,1.774966
