step,lr,train_loss
0,1.500000e-07,8.436462
50,7.650000e-06,8.031713
100,1.515000e-05,7.159023
150,2.265000e-05,6.499907
200,3.015000e-05,5.889254
250,3.765000e-05,5.357926
300,4.515000e-05,4.988289
350,5.265000e-05,4.681796
400,6.015000e-05,4.448018
450,6.765000e-05,4.293633
500,7.515000e-05,4.118075
550,8.265000e-05,4.117372
600,9.015000e-05,4.023013
650,9.765000e-05,3.850290
700,1.051500e-04,3.831943
750,1.126500e-04,3.667176
800,1.201500e-04,3.613895
850,1.276500e-04,3.500583
900,1.351500e-04,3.516922
950,1.426500e-04,3.420464
1000,1.501500e-04,3.340484
1050,1.576500e-04,3.283609
1100,1.651500e-04,3.271887
1150,1.726500e-04,3.194610
1200,1.801500e-04,3.140512
1250,1.876500e-04,3.134590
1300,1.951500e-04,2.970508
1350,2.026500e-04,3.019037
1400,2.101500e-04,2.922650
1450,2.176500e-04,2.905995
1500,2.251500e-04,2.935865
1550,2.326500e-04,2.803159
1600,2.401500e-04,2.828239
1650,2.476500e-04,2.818422
1700,2.551500e-04,2.694700
1750,2.626500e-04,2.866271
1800,2.701500e-04,2.648214
1850,2.776500e-04,2.660834
1900,2.851500e-04,2.691255
1950,2.926500e-04,2.652486
2000,3.000000e-04,2.603426
2050,2.999937e-04,2.601352
2100,2.999750e-04,2.599452
2150,2.999437e-04,2.467361
2200,2.998999e-04,2.470117
2250,2.998435e-04,2.465581
2300,2.997747e-04,2.517196
2350,2.996934e-04,2.481658
2400,2.995996e-04,2.445825
2450,2.994932e-04,2.449837
2500,2.993745e-04,2.397166
2550,2.992432e-04,2.312307
2600,2.990995e-04,2.393148
2650,2.989434e-04,2.323857
2700,2.987749e-04,2.338248
2750,2.985939e-04,2.351165
2800,2.984006e-04,2.415254
2850,2.981949e-04,2.214510
2900,2.979768e-04,2.301142
2950,2.977464e-04,2.283376
3000,2.975037e-04,2.219611
3050,2.972487e-04,2.214518
3100,2.969814e-04,2.259773
3150,2.967019e-04,2.234056
3200,2.964102e-04,2.254251
3250,2.961063e-04,2.180471
3300,2.957902e-04,2.235113
3350,2.954620e-04,2.196046
3400,2.951217e-04,2.161172
3450,2.947694e-04,2.147186
3500,2.944050e-04,2.106276
3550,2.940286e-04,2.113820
3600,2.936402e-04,2.166803
3650,2.932399e-04,2.134839
3700,2.928277e-04,2.193676
3750,2.924037e-04,2.100499
3800,2.919678e-04,2.023491
3850,2.915202e-04,2.161097
