step,lr,train_loss
0,1.500000e-07,8.474430
50,7.650000e-06,8.014907
100,1.515000e-05,7.078388
150,2.265000e-05,6.361346
200,3.015000e-05,5.807075
250,3.765000e-05,5.338151
300,4.515000e-05,5.002265
350,5.265000e-05,4.801507
400,6.015000e-05,4.559646
450,6.765000e-05,4.370252
500,7.515000e-05,4.275694
550,8.265000e-05,4.085337
600,9.015000e-05,4.006921
650,9.765000e-05,4.023395
700,1.051500e-04,3.919502
750,1.126500e-04,3.870614
800,1.201500e-04,3.738458
850,1.276500e-04,3.677738
900,1.351500e-04,3.553380
950,1.426500e-04,3.546151
1000,1.501500e-04,3.537359
1050,1.576500e-04,3.457364
1100,1.651500e-04,3.488527
1150,1.726500e-04,3.359225
1200,1.801500e-04,3.303799
1250,1.876500e-04,3.330282
1300,1.951500e-04,3.286226
1350,2.026500e-04,3.268608
1400,2.101500e-04,3.250449
1450,2.176500e-04,3.206302
1500,2.251500e-04,3.139607
1550,2.326500e-04,3.088110
1600,2.401500e-04,3.121819
1650,2.476500e-04,3.004300
1700,2.551500e-04,3.003084
1750,2.626500e-04,2.944448
1800,2.701500e-04,2.915620
1850,2.776500e-04,2.997864
1900,2.851500e-04,2.847612
1950,2.926500e-04,2.854634
2000,3.000000e-04,2.795041
2050,2.999937e-04,2.816782
2100,2.999750e-04,2.718059
2150,2.999437e-04,2.798208
2200,2.998999e-04,2.732290
2250,2.998435e-04,2.716934
2300,2.997747e-04,2.694399
2350,2.996934e-04,2.607629
2400,2.995996e-04,2.590524
2450,2.994932e-04,2.706744
2500,2.993745e-04,2.598956
2550,2.992432e-04,2.604233
2600,2.990995e-04,2.612421
2650,2.989434e-04,2.579733
2700,2.987749e-04,2.545296
2750,2.985939e-04,2.562747
2800,2.984006e-04,2.496230
2850,2.981949e-04,2.543850
2900,2.979768e-04,2.499195
2950,2.977464e-04,2.475271
3000,2.975037e-04,2.463420
3050,2.972487e-04,2.492581
3100,2.969814e-04,2.426495
3150,2.967019e-04,2.416693
3200,2.964102e-04,2.405945
3250,2.961063e-04,2.327981
3300,2.957902e-04,2.400459
3350,2.954620e-04,2.429639
3400,2.951217e-04,2.393147
3450,2.947694e-04,2.374598
3500,2.944050e-04,2.383690
3550,2.940286e-04,2.356051
3600,2.936402e-04,2.466712
3650,2.932399e-04,2.387536
3700,2.928277e-04,2.361362
3750,2.924037e-04,2.292486
3800,2.919678e-04,2.373616
3850,2.915202e-04,2.314028
3900,2.910608e-04,2.275050
3950,2.905898e-04,2.330470
4000,2.901071e-04,2.272297
4050,2.896128e-04,2.284071
4100,2.891069e-04,2.269813
4150,2.885895e-04,2.201164
4200,2.880607e-04,2.367488
4250,2.875204e-04,2.255585
4300,2.869688e-04,2.271277
4350,2.864059e-04,2.274584
4400,2.858317e-04,2.237103
4450,2.852463e-04,2.285019
4500,2.846498e-04,2.216196
4550,2.840421e-04,2.327658
4600,2.834235e-04,2.197263
4650,2.827938e-04,2.164327
4700,2.821532e-04,2.272211
4750,2.815018e-04,2.190947
4800,2.808395e-04,2.173634
4850,2.801665e-04,2.241527
4900,2.794828e-04,2.152186
4950,2.787885e-04,2.226979
5000,2.780837e-04,2.152859
5050,2.773683e-04,2.189985
5100,2.766426e-04,2.165914
5150,2.759065e-04,2.184808
5200,2.751601e-04,2.150299
5250,2.744035e-04,2.209595
5300,2.736367e-04,2.116991
5350,2.728599e-04,2.188511
5400,2.720730e-04,2.186178
5450,2.712762e-04,2.183710
5500,2.704696e-04,2.073041
5550,2.696532e-04,2.208910
5600,2.688271e-04,2.151036
5650,2.679914e-04,2.175009
5700,2.671461e-04,2.141035
5750,2.662913e-04,2.112700
5800,2.654271e-04,2.109625
5850,2.645537e-04,2.138378
5900,2.636710e-04,2.256537
5950,2.627791e-04,2.123190
6000,2.618782e-04,2.103840
6050,2.609683e-04,2.252053
6100,2.600495e-04,2.099112
6150,2.591218e-04,2.081513
6200,2.581855e-04,2.167053
6250,2.572405e-04,2.031321
6300,2.562869e-04,2.147292
6350,2.553249e-04,2.194170
6400,2.543545e-04,2.125035
6450,2.533758e-04,2.090125
6500,2.523889e-04,2.058537
6550,2.513940e-04,2.085999
6600,2.503910e-04,2.012552
6650,2.493801e-04,2.146699
6700,2.483613e-04,2.076424
6750,2.473348e-04,2.075463
6800,2.463007e-04,2.082713
6850,2.452591e-04,2.029100
6900,2.442100e-04,2.032659
6950,2.431536e-04,2.022263
7000,2.420899e-04,2.120612
7050,2.410190e-04,2.040788
7100,2.399412e-04,2.040616
7150,2.388563e-04,1.948982
7200,2.377646e-04,2.028374
7250,2.366662e-04,2.185369
7300,2.355611e-04,2.009800
7350,2.344495e-04,2.019063
7400,2.333315e-04,2.098907
7450,2.322071e-04,2.015733
7500,2.310764e-04,2.016916
7550,2.299397e-04,1.977949
7600,2.287969e-04,2.010272
7650,2.276482e-04,1.970102
7700,2.264937e-04,1.985776
7750,2.253334e-04,2.073350
7800,2.241676e-04,2.035684
7850,2.229963e-04,2.010271
7900,2.218197e-04,2.041106
7950,2.206377e-04,1.996702
8000,2.194506e-04,2.047894
8050,2.182585e-04,1.970327
8100,2.170614e-04,2.021527
8150,2.158595e-04,1.963005
8200,2.146528e-04,1.931264
8250,2.134416e-04,2.087333
8300,2.122258e-04,2.018457
8350,2.110057e-04,2.023255
8400,2.097813e-04,1.996525
8450,2.085528e-04,2.082547
8500,2.073202e-04,2.011970
8550,2.060837e-04,2.029073
8600,2.048434e-04,1.993848
8650,2.035994e-04,1.991406
8700,2.023518e-04,1.968692
8750,2.011008e-04,1.950631
8800,1.998464e-04,2.040006
8850,1.985887e-04,1.928826
8900,1.973280e-04,1.956228
8950,1.960643e-04,2.029592
9000,1.947976e-04,1.919033
9050,1.935283e-04,2.051665
9100,1.922562e-04,2.052974
9150,1.909817e-04,2.039544
9200,1.897047e-04,2.063659
9250,1.884254e-04,1.936452
9300,1.871440e-04,1.925406
9350,1.858605e-04,2.103617
9400,1.845751e-04,1.914698
9450,1.832879e-04,1.973864
9500,1.819989e-04,1.956992
9550,1.807084e-04,1.911076
9600,1.794164e-04,1.941037
9650,1.781231e-04,1.932747
9700,1.768286e-04,1.967945
9750,1.755330e-04,1.850105
9800,1.742364e-04,1.868276
9850,1.729390e-04,2.012830
9900,1.716408e-04,1.883113
9950,1.703420e-04,1.873074
10000,1.690427e-04,1.974720
10050,1.677430e-04,1.975827
10100,1.664431e-04,1.987445
10150,1.651430e-04,1.920417
10200,1.638429e-04,1.954325
10250,1.625430e-04,1.882346
10300,1.612432e-04,1.870796
10350,1.599438e-04,1.936305
10400,1.586449e-04,1.958980
10450,1.573466e-04,1.890737
10500,1.560490e-04,1.969633
10550,1.547522e-04,1.882925
10600,1.534563e-04,1.871647
10650,1.521616e-04,1.842595
10700,1.508680e-04,1.908188
10750,1.495757e-04,1.934205
10800,1.482849e-04,1.970356
10850,1.469956e-04,1.907609
10900,1.457079e-04,1.882628
10950,1.444221e-04,1.904209
11000,1.431382e-04,1.995927
11050,1.418563e-04,1.901611
11100,1.405766e-04,1.913736
11150,1.392991e-04,1.946377
11200,1.380240e-04,1.872709
11250,1.367514e-04,1.917004
11300,1.354814e-04,1.865372
11350,1.342142e-04,1.983960
11400,1.329498e-04,1.918671
11450,1.316884e-04,1.878704
11500,1.304300e-04,1.901180
11550,1.291749e-04,1.801896
11600,1.279231e-04,1.902140
11650,1.266748e-04,1.970172
11700,1.254300e-04,1.915064
11750,1.241888e-04,1.895078
11800,1.229515e-04,1.952551
11850,1.217180e-04,1.927636
11900,1.204886e-04,1.865801
11950,1.192633e-04,1.890105
12000,1.180422e-04,1.847924
12050,1.168255e-04,1.908262
12100,1.156133e-04,1.908607
12150,1.144056e-04,1.910978
12200,1.132026e-04,1.870247
12250,1.120045e-04,1.908669
12300,1.108112e-04,1.920843
12350,1.096230e-04,1.877273
12400,1.084399e-04,1.849536
12450,1.072621e-04,1.870798
12500,1.060896e-04,1.819135
12550,1.049226e-04,1.830977
12600,1.037611e-04,1.960608
12650,1.026053e-04,1.935848
12700,1.014553e-04,1.913348
12750,1.003112e-04,1.864024
12800,9.917315e-05,1.906413
12850,9.804116e-05,1.764227
12900,9.691538e-05,1.895929
12950,9.579591e-05,1.906931
13000,9.468286e-05,1.863285
13050,9.357633e-05,1.822225
13100,9.247643e-05,1.929458
13150,9.138326e-05,1.820723
13200,9.029691e-05,1.818357
13250,8.921748e-05,1.779406
13300,8.814509e-05,1.883075
13350,8.707983e-05,1.866398
13400,8.602179e-05,1.762077
13450,8.497107e-05,1.881306
13500,8.392778e-05,1.825551
13550,8.289201e-05,1.839303
13600,8.186385e-05,1.840154
13650,8.084340e-05,1.917832
13700,7.983075e-05,1.850389
13750,7.882601e-05,1.846049
13800,7.782926e-05,1.821487
13850,7.684059e-05,1.858461
13900,7.586009e-05,1.870892
13950,7.488787e-05,1.841568
14000,7.392400e-05,1.842051
14050,7.296858e-05,1.861916
14100,7.202169e-05,1.804975
14150,7.108343e-05,1.886450
14200,7.015387e-05,1.919459
14250,6.923312e-05,1.873095
14300,6.832124e-05,1.834575
14350,6.741833e-05,1.780887
14400,6.652447e-05,1.813565
14450,6.563974e-05,1.796148
14500,6.476423e-05,1.843735
14550,6.389801e-05,1.875332
14600,6.304117e-05,1.861504
14650,6.219379e-05,1.750111
14700,6.135594e-05,1.873379
14750,6.052770e-05,1.836887
14800,5.970915e-05,1.841368
14850,5.890037e-05,1.867209
14900,5.810142e-05,1.833434
14950,5.731239e-05,1.844054
15000,5.653335e-05,1.826365
15050,5.576437e-05,1.846143
15100,5.500552e-05,1.796116
15150,5.425686e-05,1.832904
15200,5.351848e-05,1.854036
15250,5.279044e-05,1.827784
15300,5.207280e-05,1.923553
15350,5.136564e-05,1.789991
15400,5.066902e-05,1.842404
15450,4.998300e-05,1.794212
15500,4.930764e-05,1.877346
15550,4.864302e-05,1.886075
15600,4.798919e-05,1.874529
15650,4.734620e-05,1.755403
15700,4.671413e-05,1.846318
15750,4.609303e-05,1.789107
15800,4.548296e-05,1.795265
15850,4.488397e-05,1.782589
15900,4.429613e-05,1.907796
15950,4.371947e-05,1.910220
16000,4.315407e-05,1.810868
16050,4.259996e-05,1.860131
16100,4.205720e-05,1.774753
16150,4.152585e-05,1.845834
16200,4.100595e-05,1.800464
16250,4.049755e-05,1.799658
16300,4.000069e-05,1.843292
16350,3.951543e-05,1.768646
16400,3.904181e-05,1.820420
16450,3.857986e-05,1.794040
16500,3.812964e-05,1.807456
16550,3.769119e-05,1.859674
16600,3.726454e-05,1.797968
16650,3.684974e-05,1.744620
16700,3.644683e-05,1.864847
16750,3.605584e-05,1.792506
16800,3.567680e-05,1.821135
16850,3.530976e-05,1.776398
16900,3.495475e-05,1.776821
16950,3.461180e-05,1.821225
17000,3.428094e-05,1.806015
17050,3.396220e-05,1.850160
17100,3.365562e-05,1.794536
17150,3.336122e-05,1.785626
17200,3.307902e-05,1.847467
17250,3.280906e-05,1.774391
17300,3.255136e-05,1.836996
17350,3.230594e-05,1.846784
17400,3.207283e-05,1.803879
17450,3.185205e-05,1.924150
17500,3.164362e-05,1.854724
17550,3.144755e-05,1.824658
17600,3.126387e-05,1.819999
17650,3.109259e-05,1.790508
17700,3.093373e-05,1.827953
17750,3.078731e-05,1.722567
17800,3.065333e-05,1.774692
17850,3.053181e-05,1.832292
17900,3.042277e-05,1.872000
17950,3.032620e-05,1.772695
18000,3.024212e-05,1.787957
18050,3.017054e-05,1.928555
18100,3.011147e-05,1.798744
18150,3.006490e-05,1.749962
18200,3.003085e-05,1.798949
18250,3.000932e-05,1.806208
18300,3.000030e-05,1.826279
