step,lr,train_loss
0,1.500000e-07,8.471756
50,7.650000e-06,8.010925
100,1.515000e-05,7.113591
150,2.265000e-05,6.380071
200,3.015000e-05,5.811102
250,3.765000e-05,5.341196
300,4.515000e-05,4.994971
350,5.265000e-05,4.795785
400,6.015000e-05,4.554708
450,6.765000e-05,4.362659
500,7.515000e-05,4.263558
550,8.265000e-05,4.073023
600,9.015000e-05,3.996846
650,9.765000e-05,4.021750
700,1.051500e-04,3.915618
750,1.126500e-04,3.876356
800,1.201500e-04,3.761782
850,1.276500e-04,3.708312
900,1.351500e-04,3.608822
950,1.426500e-04,3.619197
1000,1.501500e-04,3.619322
1050,1.576500e-04,3.538763
1100,1.651500e-04,3.589525
1150,1.726500e-04,3.474426
1200,1.801500e-04,3.440936
1250,1.876500e-04,3.461062
1300,1.951500e-04,3.431845
1350,2.026500e-04,3.435292
1400,2.101500e-04,3.418139
1450,2.176500e-04,3.407988
1500,2.251500e-04,3.355710
1550,2.326500e-04,3.306506
1600,2.401500e-04,3.343504
1650,2.476500e-04,3.239764
1700,2.551500e-04,3.262810
1750,2.626500e-04,3.212126
1800,2.701500e-04,3.183804
1850,2.776500e-04,3.270818
1900,2.851500e-04,3.130779
1950,2.926500e-04,3.151254
2000,3.000000e-04,3.097890
2050,2.999937e-04,3.118128
2100,2.999750e-04,3.015491
2150,2.999437e-04,3.086904
2200,2.998999e-04,3.030039
2250,2.998435e-04,3.031628
2300,2.997747e-04,2.981720
2350,2.996934e-04,2.900393
2400,2.995996e-04,2.901197
2450,2.994932e-04,2.984799
2500,2.993745e-04,2.893702
2550,2.992432e-04,2.893832
2600,2.990995e-04,2.899850
2650,2.989434e-04,2.882795
2700,2.987749e-04,2.809906
2750,2.985939e-04,2.836658
2800,2.984006e-04,2.762756
2850,2.981949e-04,2.825429
2900,2.979768e-04,2.771772
2950,2.977464e-04,2.739566
3000,2.975037e-04,2.728937
3050,2.972487e-04,2.749136
3100,2.969814e-04,2.681950
3150,2.967019e-04,2.670667
3200,2.964102e-04,2.664693
3250,2.961063e-04,2.583030
3300,2.957902e-04,2.657483
3350,2.954620e-04,2.674221
3400,2.951217e-04,2.642469
3450,2.947694e-04,2.620221
3500,2.944050e-04,2.618827
3550,2.940286e-04,2.576705
3600,2.936402e-04,2.690806
3650,2.932399e-04,2.615521
3700,2.928277e-04,2.575430
3750,2.924037e-04,2.513244
3800,2.919678e-04,2.597155
3850,2.915202e-04,2.518434
3900,2.910608e-04,2.462059
3950,2.905898e-04,2.542665
4000,2.901071e-04,2.482269
4050,2.896128e-04,2.478258
4100,2.891069e-04,2.466641
4150,2.885895e-04,2.385070
4200,2.880607e-04,2.555120
4250,2.875204e-04,2.451268
4300,2.869688e-04,2.451913
4350,2.864059e-04,2.451083
4400,2.858317e-04,2.392931
4450,2.852463e-04,2.463479
4500,2.846498e-04,2.386066
4550,2.840421e-04,2.498074
