step,lr,train_loss
0,1.500000e-07,8.481601
50,7.650000e-06,7.984367
100,1.515000e-05,7.060842
150,2.265000e-05,6.418494
200,3.015000e-05,5.843157
250,3.765000e-05,5.305274
300,4.515000e-05,4.991971
350,5.265000e-05,4.693921
400,6.015000e-05,4.521414
450,6.765000e-05,4.482104
500,7.515000e-05,4.202521
550,8.265000e-05,4.086874
600,9.015000e-05,4.068447
650,9.765000e-05,3.975208
700,1.051500e-04,3.974353
750,1.126500e-04,3.843771
800,1.201500e-04,3.795214
850,1.276500e-04,3.837182
900,1.351500e-04,3.764329
950,1.426500e-04,3.639192
1000,1.501500e-04,3.585100
1050,1.576500e-04,3.513113
1100,1.651500e-04,3.533876
1150,1.726500e-04,3.489063
1200,1.801500e-04,3.421970
1250,1.876500e-04,3.432145
1300,1.951500e-04,3.445178
1350,2.026500e-04,3.318841
1400,2.101500e-04,3.344881
1450,2.176500e-04,3.376047
1500,2.251500e-04,3.257808
1550,2.326500e-04,3.268010
1600,2.401500e-04,3.215750
1650,2.476500e-04,3.170713
1700,2.551500e-04,3.120362
1750,2.626500e-04,3.210995
1800,2.701500e-04,3.137769
1850,2.776500e-04,3.075212
1900,2.851500e-04,3.015676
1950,2.926500e-04,3.023206
2000,3.000000e-04,3.106310
2050,2.999937e-04,2.979855
2100,2.999750e-04,2.935558
2150,2.999437e-04,2.963789
2200,2.998999e-04,2.938932
2250,2.998435e-04,2.856997
2300,2.997747e-04,2.858665
2350,2.996934e-04,2.799993
2400,2.995996e-04,2.821806
2450,2.994932e-04,2.720236
2500,2.993745e-04,2.794071
2550,2.992432e-04,2.783596
2600,2.990995e-04,2.730649
2650,2.989434e-04,2.731316
2700,2.987749e-04,2.685295
2750,2.985939e-04,2.695714
2800,2.984006e-04,2.684476
2850,2.981949e-04,2.590576
2900,2.979768e-04,2.613721
2950,2.977464e-04,2.657595
3000,2.975037e-04,2.668428
3050,2.972487e-04,2.643882
3100,2.969814e-04,2.621654
3150,2.967019e-04,2.460435
3200,2.964102e-04,2.517039
3250,2.961063e-04,2.436384
3300,2.957902e-04,2.484673
3350,2.954620e-04,2.462758
3400,2.951217e-04,2.450908
3450,2.947694e-04,2.463799
3500,2.944050e-04,2.477106
3550,2.940286e-04,2.442411
3600,2.936402e-04,2.378305
3650,2.932399e-04,2.355878
3700,2.928277e-04,2.343501
3750,2.924037e-04,2.328405
3800,2.919678e-04,2.395222
3850,2.915202e-04,2.339973
3900,2.910608e-04,2.352788
3950,2.905898e-04,2.324327
4000,2.901071e-04,2.397563
4050,2.896128e-04,2.280699
4100,2.891069e-04,2.306829
4150,2.885895e-04,2.415718
4200,2.880607e-04,2.314483
4250,2.875204e-04,2.379608
4300,2.869688e-04,2.241413
4350,2.864059e-04,2.300344
4400,2.858317e-04,2.294088
4450,2.852463e-04,2.300957
4500,2.846498e-04,2.269877
4550,2.840421e-04,2.343633
4600,2.834235e-04,2.268869
4650,2.827938e-04,2.266735
4700,2.821532e-04,2.246104
4750,2.815018e-04,2.266697
4800,2.808395e-04,2.271362
4850,2.801665e-04,2.269594
4900,2.794828e-04,2.206359
4950,2.787885e-04,2.209146
5000,2.780837e-04,2.261955
5050,2.773683e-04,2.151450
5100,2.766426e-04,2.203040
5150,2.759065e-04,2.102337
5200,2.751601e-04,2.135805
5250,2.744035e-04,2.211608
5300,2.736367e-04,2.117098
5350,2.728599e-04,2.114462
5400,2.720730e-04,2.113204
5450,2.712762e-04,2.205635
5500,2.704696e-04,2.149220
5550,2.696532e-04,2.094067
5600,2.688271e-04,2.123739
5650,2.679914e-04,2.187870
5700,2.671461e-04,2.131936
5750,2.662913e-04,2.167435
5800,2.654271e-04,2.043564
5850,2.645537e-04,2.100393
5900,2.636710e-04,2.045344
5950,2.627791e-04,2.108132
6000,2.618782e-04,2.189288
6050,2.609683e-04,2.102811
6100,2.600495e-04,2.114060
6150,2.591218e-04,2.019918
6200,2.581855e-04,2.090657
6250,2.572405e-04,2.083270
6300,2.562869e-04,2.048187
6350,2.553249e-04,2.046235
6400,2.543545e-04,1.979407
6450,2.533758e-04,2.166383
6500,2.523889e-04,2.044066
6550,2.513940e-04,1.978396
6600,2.503910e-04,2.143907
6650,2.493801e-04,2.066605
6700,2.483613e-04,2.065939
6750,2.473348e-04,2.088236
6800,2.463007e-04,2.189554
6850,2.452591e-04,2.044012
6900,2.442100e-04,1.935655
6950,2.431536e-04,2.053579
7000,2.420899e-04,2.022418
7050,2.410190e-04,2.002968
7100,2.399412e-04,1.998305
7150,2.388563e-04,1.992107
7200,2.377646e-04,2.007734
7250,2.366662e-04,1.980550
7300,2.355611e-04,2.049690
7350,2.344495e-04,2.020787
7400,2.333315e-04,1.986641
7450,2.322071e-04,2.004460
7500,2.310764e-04,1.993783
7550,2.299397e-04,1.961756
7600,2.287969e-04,1.948339
7650,2.276482e-04,1.898813
7700,2.264937e-04,1.927175
7750,2.253334e-04,1.999626
7800,2.241676e-04,2.016741
7850,2.229963e-04,2.064170
7900,2.218197e-04,2.052880
7950,2.206377e-04,2.011536
8000,2.194506e-04,1.949962
8050,2.182585e-04,1.983402
8100,2.170614e-04,2.011160
8150,2.158595e-04,1.929610
8200,2.146528e-04,1.944070
8250,2.134416e-04,1.943440
8300,2.122258e-04,1.931880
8350,2.110057e-04,1.889674
8400,2.097813e-04,1.897568
8450,2.085528e-04,1.947044
8500,2.073202e-04,1.993078
8550,2.060837e-04,1.913538
8600,2.048434e-04,1.961756
8650,2.035994e-04,1.878860
8700,2.023518e-04,1.906196
8750,2.011008e-04,1.921240
8800,1.998464e-04,1.849612
8850,1.985887e-04,1.873122
8900,1.973280e-04,1.929103
8950,1.960643e-04,1.882665
9000,1.947976e-04,1.945700
9050,1.935283e-04,1.854439
9100,1.922562e-04,1.871796
9150,1.909817e-04,1.958581
9200,1.897047e-04,1.929827
9250,1.884254e-04,1.981434
9300,1.871440e-04,1.898438
9350,1.858605e-04,1.872112
9400,1.845751e-04,2.039987
9450,1.832879e-04,1.946012
9500,1.819989e-04,1.923959
9550,1.807084e-04,1.967352
9600,1.794164e-04,1.972604
9650,1.781231e-04,1.919682
9700,1.768286e-04,1.913416
9750,1.755330e-04,1.897531
9800,1.742364e-04,1.885377
9850,1.729390e-04,1.892797
9900,1.716408e-04,1.917535
9950,1.703420e-04,1.948039
10000,1.690427e-04,1.873122
10050,1.677430e-04,1.902160
10100,1.664431e-04,1.919658
10150,1.651430e-04,1.940354
10200,1.638429e-04,1.930285
10250,1.625430e-04,1.872716
10300,1.612432e-04,1.942279
10350,1.599438e-04,1.868426
10400,1.586449e-04,1.947206
10450,1.573466e-04,1.929666
10500,1.560490e-04,1.870913
10550,1.547522e-04,1.815161
10600,1.534563e-04,1.974296
10650,1.521616e-04,1.833520
10700,1.508680e-04,1.876470
10750,1.495757e-04,1.835634
10800,1.482849e-04,1.850398
10850,1.469956e-04,1.874545
10900,1.457079e-04,1.868711
10950,1.444221e-04,1.875658
11000,1.431382e-04,1.905448
11050,1.418563e-04,1.817444
11100,1.405766e-04,1.894278
11150,1.392991e-04,1.874842
11200,1.380240e-04,1.891300
11250,1.367514e-04,1.880683
11300,1.354814e-04,1.864186
11350,1.342142e-04,1.812985
11400,1.329498e-04,1.856500
11450,1.316884e-04,1.797337
11500,1.304300e-04,1.812380
11550,1.291749e-04,1.841637
11600,1.279231e-04,1.757176
11650,1.266748e-04,1.827257
11700,1.254300e-04,1.940026
11750,1.241888e-04,1.835153
11800,1.229515e-04,1.817534
11850,1.217180e-04,1.920464
11900,1.204886e-04,1.818539
